"","RBARBIS","ARGCCUSMA02STM","IRSTCB01BRM156N","IRSTCI01BRM156N","TRESEGBRM052N","IRSTPI01INM156N","INTDSRINM193N","IRSTCB01INM156N","IRSTCI01INM156N","TRESEGINM052N","CCUSSP01TRM650N","INTDSRTRM193N"
"2008-06",0.0259814690992455,-0.0341838022252533,0.1225,0.1225,53423284522.004,0.000299999999999995,0,0,0,96295414558.42,-0.00978265318652582,0
"2008-07",-0.00167582161809876,-0.00678370851552224,0.13,0.13,47378679971.265,0.00470000000000001,0,0,0,76214887090.018,0.0537870945479644,0
"2008-08",0.0185582392987036,0.00344332663982616,0.13,0.13,43845905082.217,0.00470000000000001,0,0,0,64644185001.147,-0.0154995965858429,0
"2008-09",0.0400109869987182,0.0221687546668878,0.1375,0.1375,43379070568.351,0.00219999999999998,0,0,0,37373532470.492,-0.0462516706492238,0
"2008-10",0.0581037063121752,0.0462787646599601,0.1375,0.1375,29425859172.907,0.00190000000000001,0,0,0,-12384384947.532,-0.210671014353761,0
"2008-11",0.00590731342041773,0.0259974328956087,0.1375,0.1375,17575227017.311,-0.00470000000000001,0,0,0,-25404355473.369,-0.0013408677329757,0
"2008-12",-0.0129032258064516,0.0296862751367239,0.1375,0.1375,13410767752.822,-0.0053,0,0,0,-19569444816.159,0.0266806516109988,0
"2009-01",-0.0185185185185186,0.0115672424645072,0.1275,0.1275,601671952.334015,-0.0063,0,0,0,-44349789080.62,-0.0689676218377111,0
"2009-02",0.00136600358575945,0.0142992450430026,0.1275,0.1275,-6000314331.83701,-0.0025,0,0,0,-52185858542.927,-0.0313340624907636,0
"2009-03",-0.0368317844658539,0.0425165442842907,0.1125,0.1125,-4825240358.246,0.00130000000000001,0,0,0,-57338844662.775,0.0115117808874543,0
"2009-04",-0.0359387447995043,0.00843574611585995,0.1025,0.1025,-5233965621.728,-0.0021,0,0,0,-62067387627.934,0.05674924165824,-0.06
"2009-05",-0.0432467174731429,0.00919594097342413,0.1025,0.1025,-2738987536.25299,-0.00170000000000001,0,0,0,-52798998431.262,0.0287348849304387,0
