"","BRAPROMANMISMEI","BSPRFT02BRM460S","BSCICP02BRM460S","BSCURT02BRM160S","INDPRMNTO01IXOBM","INDPRMNCG02IXOBSAM","CCRETT01INM661N","WPIAMP01INM661N","INDWPIAMP01GPM","BSCURT02MXM160S","MEXPROMANMISMEI","BSCICP02RUM460S","RUSPPDMMINMEI","TURPROMANMISMEI"
"2002-10",0.00621890547263693,0.21,-0.049,-0.001,2.78734597329549,0.0269225448717094,0.00467427992950498,1.584330149813,-0.00171267505498405,0.71231129129,0.00570256886956932,-0.106745695373333,0.0159999985376533,-0.0357941834451901
"2002-11",-0.00123609394313884,0.335,0.003,0.00399999999999989,1.6906852624907,-0.00262754730192416,-0.00446521659371724,1.6358208796819,0.000894369311313244,0.70750694428,0.00411088427523398,-0.120966891273333,0.0120000013767352,-0.0301624129930396
"2002-12",-0.00123762376237646,0.435,0.047,0.0130000000000001,2.7644988751537,0.0126557607659876,-0.002990121069947,1.7249394506089,0.00154040565689839,0.69682240018,-0.0189281829801752,-0.151188119233333,0.00999999513034178,0.0741626794258374
"2003-01",-0.00619578686493183,0.162,0.029,0.0119999999999999,3.0158169547131,0.0102204134746946,-0.0121727741183144,1.9903147507025,0.00451357185547634,0.71880262395,-0.0178357041489843,-0.17863617348,0.0109999995637744,0.0334075723830736
"2003-02",0.0249376558603496,0.297,0.013,0.00300000000000011,2.90158146400429,-0.0353356329160224,0.0047697227574115,2.5349282397008,0.00928433057621571,0.70875883845,0.0213735336435392,-0.146579321576667,0.0170000018546053,-0.0387931034482758
"2003-03",-0.0535279805352805,0.235,-0.034,-0.00900000000000001,2.7873459732954,-0.046256849443472,0.00649957011079283,2.72504785767831,0.0031285124908856,0.70483434251,-0.0093307055258034,-0.157627421966667,0.0149999990695908,0.0156950672645739
"2003-04",0.0244215938303343,0.281,-0.051,-0.001,1.6906852624907,0.100475912751609,0.0135615095674471,3.07954172869901,0.00568846233730942,0.70936865292,0.00769981104146233,-0.187622013233333,0.0160000056906291,-0.0264900662251655
"2003-05",-0.0188205771643668,0.208,-0.082,-0.014,2.6502633844448,0.0204818126118962,-0.0171997730930777,3.4835459169013,0.00645343255633049,0.70513758866,-0.00458559852164131,-0.1299899292,0.00799999439898547,-0.00226757369614516
"2003-06",0.0115089514066498,0.161,-0.128,0,2.7188046788702,-0.0343433557372058,0.00320583823816634,2.7705973494855,-0.0121555703776807,0.71242538174,0.00831546080116574,-0.11259192416,0.0120000028355631,0.0477272727272728
"2003-07",-0.00884955752212346,0.109,-0.177,-0.00900000000000012,3.221440837989,0.0253876365062666,0.0177682810295681,2.7626756987363,-0.00022148349961511,0.71728308897,-0.00335408665962689,-0.0730649726633333,0.0139999997452802,0.0216919739696313
"2003-08",0.0114795918367347,0.109,-0.13,0.0110000000000001,2.7416517770119,0.00660624377753805,0.00717236246868191,2.6141447471914,-0.00286065124851863,0.7099590351,-0.00490803548977814,-0.0406581027666667,0.0109999984509028,0.029723991507431
"2003-09",0.0327868852459015,0.193,-0.068,0.002,3.2671350342725,0.0266503155005173,-0.00257179311565581,2.990423157772,0.00610085723119205,0.70991764509,0.00428207038954742,-0.0864221398433333,0.0140000038513146,-0.00412371134020628
"2003-10",0.00244200244200288,0.292,-0.002,0.0069999999999999,2.9015814640042,0.0341479120320884,-0.00246403492764635,3.12905204588061,0.00227471149145982,0.71460802745,-0.000474816072232542,-0.04036562012,0.0109999998502515,-0.010351966873706
"2003-11",0.0170523751522536,0.41,0.041,-0.00099999999999989,3.6555357026825,0.0468444299683395,-0.00206226109922969,3.4379964250942,0.00497859611680823,0.7088829195,0.00529692022525396,-0.0492995229,0.0109999958526894,-0.00209205020920489
"2003-12",-0.0215568862275449,0.517,0.076,0.01,3.4956060156902,-0.0181890106156605,-0.0137548128253693,3.5647428370792,0.0020008042128162,0.71842256357,0.00799846090409906,-0.0480155011666667,0.00700000531419542,0.0188679245283019
"2004-01",0.0232558139534875,0.312,0.065,0.00700000000000001,3.65553570268261,0.033368197375987,-0.00720146170751645,3.8796284543546,0.00479534156110862,0.7131591583,-0.0114230331960961,-0.0774540038133333,0.0109999975267001,0.0205761316872428
"2004-02",0.0143540669856466,0.355,0.068,0.00599999999999989,3.3128292305561,-0.0162586664925053,0.00197932523090105,4.0697480723321,0.00257475744749933,0.71388087563,0.00645419420355342,-0.0887448395666666,0.0229999988422167,0.00806451612903225
"2004-03",0.00825471698113178,0.245,0.049,-0.01,3.7469240952497,0.00499340128737757,0.0179566791603714,3.9707274379688,-0.00185492319113897,0.72368538288,0.0261732026559325,-0.0996507583666666,0.016000002353024,0.012
"2004-04",0.00584795321637421,0.216,0.059,0,4.9806673949049,0.0136498620145939,0.027399231552339,3.54493871020649,-0.00735627823000653,0.71048553139,-0.00532917708351721,-0.118666693433333,0.0209999985147586,0.017786561264822
"2004-05",0.0116279069767444,0.25,0.086,-0.00399999999999989,4.6608080209203,0.00850327467166023,-0.0167779415536083,3.0577571891391,-0.00821728668117359,0.71225283497,0.00118924377888452,-0.0753624666366667,0.0229999983172435,0.029126213592233
"2004-06",-0.00114942528735651,0.287,0.095,0.01,5.0492086893303,0.044819227746637,-0.00739822529653344,4.2578872776223,0.0188673421777979,0.71730739869,-0.000959238542633134,-0.0972823804033333,0.0239999997107827,-0.0132075471698114
"2004-07",0.0115074798619106,0.359,0.109,-0.00100000000000011,5.3462209651732,0.073449050860414,-0.0169338751995939,4.6777347673228,0.00632594124699095,0.71681183043,0.0057492830482524,-0.0697681617733333,0.00699999982347688,0.0172084130019121
"2004-08",0.0091012514220703,0.264,0.1,0.00700000000000001,5.7117745354415,-0.000249372466653908,0.0056669282377293,4.65000898970111,-0.000888882522469699,0.71192286644,0.00662517419053277,-0.04631621633,0.014000000046746,-0.00939849624060152
"2004-09",0.00338218714768534,0.275,0.111,-0.002,6.3057990871274,0.0307733049460008,0.00713484310729928,4.60445949789391,-0.0011615175807247,0.72332875198,-0.00390558186411039,-0.03673642927,0.0310000021379095,-0.0341555977229603
"2004-10",-0.0101123595505588,0.289,0.126,0.003,6.8312823443881,0.0107340058974059,-0.00318492822967609,4.36086873736019,-0.00377771872504506,0.71976332851,0.00145185124021663,-0.0329722144033333,0.0140000015314667,-0.037328094302554
"2004-11",0.00454029511918375,0.342,0.125,-0.001,5.6889274372998,-0.0185404091222025,-0.0052988639327316,4.01627692977591,-0.00553919296621517,0.72547135842,-0.00140866280857166,-0.0315527727666667,0.0150000002480453,0.010204081632653
"2004-12",0.00564971751412036,0.397,0.12,0.01,6.7170468536792,0.0142525438313201,0.0134029143311938,3.87170680360551,-0.00234175670756041,0.72843939802,0.0113887958895591,-0.0789442637,-0.00200000032583769,0.0181818181818181
"2005-01",0.0078651685393325,0.194,0.071,0.00600000000000001,5.8717042224339,-0.0168783486792531,0.0204512561268912,3.4459180758432,-0.00695930122954725,0.7240284996,-0.0102398235204633,-0.0742347315666667,0.00899999608752555,0.186507936507937
"2005-02",-0.0234113712374617,0.282,0.059,0.004,5.5289977503074,0.0378717921070617,-0.000522878512682734,2.9310107771539,-0.00825825306762787,0.72036566569,0.00975136140294497,-0.0915539879666667,0.00900000442766236,-0.0501672240802675
"2005-03",0.0148401826484037,0.254,0.026,-0.0109999999999999,8.3391908217446,-0.00867565179009588,-0.004312446226727,3.1587582361896,0.00329966975496432,0.71452968651,-0.00363220764115557,-0.0780464877666667,0.00999999689995335,-0.00704225352112675
"2005-04",-0.00224971878515334,0.295,0.019,-0.002,4.3181015487938,-0.00569685242305995,0.00879560437982629,3.5013696310867,0.00494983597129709,0.71820755595,0.00377130907428969,-0.06783652758,0.0110000007038342,0.0124113475177305
"2005-05",0.0157835400225521,0.246,0.006,-0.0140000000000001,5.4885603691125,0.0379221566612584,0.00112980786129535,3.064670349851,-0.00661004147061957,0.72827547558,0.00990586782087544,-0.11149425102,0.00999999942421481,0.00875656742556918
"2005-06",0.0199778024417254,0.202,-0.022,0.00100000000000011,6.9193341718132,0.00979773250234617,0.00923730161281067,1.8179822795236,-0.0192381585998036,0.70661358863,-0.0279390141037191,-0.155111557606667,0.00300000083957941,0
"2005-07",-0.0261153427638693,0.202,-0.045,-0.0110000000000001,4.3817575075579,-0.0473183905699077,0.0143177804705754,1.1580006096454,-0.010073132207237,0.70628516047,0.0100269250410234,-0.125005636526667,0.00399999880123736,0.0260416666666667
"2005-08",0,0.106,-0.058,0.005,5.4101869339285,0.0568141333875594,-0.0110883672770613,0.785683024439294,-0.00566743036295696,0.71747259623,0.0109900445522502,-0.105854065483333,0.00400000125574484,0.0186125211505923
"2005-09",-0.0100558659217906,0.106,-0.051,-0.005,4.6383925228394,-0.0169030270447059,-0.00621254847906172,0.4849124184842,-0.00456420928026946,0.7239845959,0.00885307044371708,-0.06168975155,0.0100000016915773,0.00996677740863783
"2005-10",-0.00902934537246025,0.114,-0.048,0.00200000000000011,5.3830330104265,-0.011807546758692,-0.0135373758726209,0.563876803465504,0.00119578909220558,0.71393665852,0.0148226292106093,-0.0526616125,0.00399999981729038,0.0131578947368423
"2005-11",0.0125284738041016,0.045,-0.043,-0.00600000000000001,4.0130574900698,-0.0552218034009735,0.000846807259729854,0.653247496901798,0.00133986287309761,0.74289968292,0.00668741206217671,-0.118656470766667,0.00199999849360544,-0.00162337662337664
"2005-12",0.0258717660292465,0.167,-0.02,0.0069999999999999,6.6993476275607,-0.0194015676764332,-0.000487005208846814,0.502231887650893,-0.00225964862932621,0.72628451432,0.00750763405962984,-0.115038155833333,0.00199999702348985,-0.00650406504065038
"2006-01",0,0.199,-0.003,0.0110000000000001,7.8975769832808,0.105818691292361,0.0166060394690262,0.683710054738498,0.00270065618977899,0.7229879543,0.0104678724818139,-0.102943611966667,0.011000002255618,0.0049099836333879
"2006-02",0.00328947368420618,0.221,0.003,-0.00600000000000012,6.6610764852252,0.0312186838882698,0.0052107261941845,0.910737713633196,0.00336719440467631,0.725181425,-0.0069975657327529,-0.0871298381333333,0.0179282868525892,0.00651465798045603
"2006-03",-0.00765027322404033,0.244,0.008,0.00600000000000012,8.5599525391512,0.0527316261466122,-0.00493559365695806,0.767176077499798,-0.00221104794290874,0.73477948919,-0.000719097438487082,-0.0782157106666667,0.00538160469667415,0.0242718446601942
"2006-04",0.00881057268722629,0.262,0.032,-0.00700000000000001,6.0092159377428,0.0391456542060853,-0.015969330855397,1.77135501210429,0.0147351038943168,0.71922860511,0.00323333715100049,-0.0586465910666667,0.00681265206812665,-0.00315955766192721
"2006-05",0.00545851528383912,0.294,0.006,0.00099999999999989,7.2972938918731,-0.0201594187077624,-0.0134920861218195,2.36180668280579,0.00862211767824018,0.75200830411,0.0174104820032148,-0.04947467079,0.0260995650072493,0.00950871632329631
"2006-06",-0.00651465798045736,0.249,0.001,0.00100000000000011,6.1766063262006,-0.013530000548727,0.00374372889206409,2.95225835350719,0.00861497436840538,0.74472287049,-0.00483222608548406,-0.0397160035366667,0.00659444182760249,0.00313971742543173
"2006-07",0.00765027322405021,0.255,0.015,0.005,9.218661364098,0.154783027000197,-0.0164906918685925,3.4771042830196,0.00758738168260152,0.74238475751,0.00567427193775161,-0.0182695729,0.0163781001403829,0.00312989045383394
"2006-08",-0.00542299349241371,0.192,-0.007,0.00099999999999989,6.5545844469056,-0.0731454411420205,0.000293165459019917,3.8707387301539,0.00559701492537302,0.74247270721,-0.011362439120476,-0.0141286754,0.0197974217311241,-0.0109204368174727
"2006-09",-0.0130861504907236,0.196,0.017,0.00100000000000011,8.2050441728892,0.024770866957246,0.0171665566680395,4.067555953721,0.00272922087025566,0.73705006882,-0.000272630086646464,0.01201730025,0.0103837471783295,0.00157728706624605
"2006-10",0.00110497237568596,0.182,0.005,-0.00300000000000011,5.7547199097635,0.0151559088828943,0.0218456280328196,4.3299789184772,0.00375303541009732,0.74655108415,0.000884166533727804,0.00403497216666667,-0.00491510277033147,0.00629921259842514
"2006-11",0.0187637969094911,0.224,0.028,0,12.9270265353343,0.156238715148873,0.00350767171759925,4.26437317728809,-0.000981354268891025,0.74316175955,0.00419246508519056,0.0119744664666667,0.00493938033228636,-0.00938967136150237
"2006-12",0.0140845070422513,0.275,0.053,0.00100000000000011,9.5160122632326,-0.135821532589691,-0.00319077236496312,4.5267961420444,0.0038041022860757,0.73663262175,-0.00182977761201752,0.0084349085,0.00536193029490528,0.0394944707740916
"2007-01",-0.00747863247862923,0.239,0.042,0.00599999999999989,9.73663329140361,0.100428743859226,0.0120185295254924,4.59240188323341,0.00060818785323254,0.74102361199,-0.00363146794701896,0.00475989003333334,-0.000444444444442693,0.0486322188449848
"2007-02",0.0107642626480107,0.296,0.074,0.00900000000000012,9.5149889124084,-0.0200440163487293,0.00568639149516925,4.3955846596663,-0.00305775936623266,0.73775054331,0.00237995152154502,0.0184028112333333,-0.00222321031569617,-0.0275362318840581
"2007-03",0.0149094781682577,0.291,0.088,-0.00600000000000012,10.8922191614334,0.0508518014447108,-0.000587164035578791,4.3955846596663,-0.00023808254712805,0.73983524441,0.0113718449083795,0.0311517598666667,0.012032085561497,0.0193740685543966
"2007-04",0.00944386149003806,0.336,0.114,0.002,12.2063648684319,0.00918322013445549,0.0358629762112752,3.8707387301539,-0.008697124235563,0.74219078864,-0.00680662336040028,0.0259064751333333,0.0334654337296336,-0.00146198830409372
