"","LMUNRRTTATM156S","LRHUTTFEATM156S","LMUNRLTTBEM647S","LFHUTTTTBEM647S","LMUNRLTTIEM647S","LMUNRRTTNOM156S","LMUNRLTTESM647S","LFHUTTTTESM647S","LMUNRLTTCHM647S"
"2006-08",-0.000911590917333602,0,-0.000343864745331213,-0.0297297297297298,0.0140173750659683,0.0253868518549175,0.000889356569696798,-0.000552486187845314,-0.00935892514395398
"2006-09",-0.000762754091986298,-0.002,0.010565188086984,0.0194986072423398,-0.00957293062152387,0.0246018725304939,-0.00947065804894609,-0.0105030403537866,-0.0120203671985802
"2006-10",-0.000277107942477497,0.003,-0.021956251090523,0.0109289617486339,0.00890505491396631,0.0232384224273649,-0.00469858688627844,0.00893854748603351,-0.0124333228741763
"2006-11",-0.000684977081094301,0,0.0118231612399942,0.0135135135135136,-0.00573286130534001,0.0226748649309089,-0.00113852222814781,0.00941306755260252,-0.0238293816275468
"2006-12",-4.86972270484082e-05,-0.000999999999999994,-0.00723883143408188,-0.0106666666666667,0.0056886014468589,0.021992227286836,-0.00203817430293163,0.00329127811300056,-0.0158753407380284
"2007-01",4.95345400752106e-05,-0.002,0.0106821405671511,-0.00539083557951481,-0.0176276451791193,0.0210429590182488,-0.00197438487182511,0.00164024056861667,-0.0158172377298584
"2007-02",-0.000568671731719608,0.005,-0.00648891212071956,-0.00271002710027102,0.00876523660232553,0.0202074425673692,-0.00658631122152453,-0.0120087336244541,-0.0210365367005234
"2007-03",-0.000834912891185188,-0.00799999999999999,-0.000577410184723903,0.0108695652173914,-0.00191730266512358,0.0195372562747977,0.00171238271394403,-0.00718232044198897,-0.0304907875428012
"2007-04",-8.36212029889094e-05,0.011,0.00559518367602707,0.0403225806451613,0.00189941766405455,0.0191673176585727,0.000801625859026656,-0.00612131329994436,-0.00586860693610924
"2007-05",-0.000496538860589799,0.002,-0.00274402027615872,-0.00775193798449614,0.0121807333391607,0.018419878918991,0.00314188908179136,-0.00839865621500557,-0.0156618674929437
"2007-06",-0.000387644777951099,-0.012,-0.0112272202008938,-0.0572916666666666,0.00499090007359815,0.0187716429885328,0.014526700336212,0.0141163184641446,-0.0174578478905855
"2007-07",-0.000508787431418897,0.008,0.0212022667840304,-0.0524861878453039,-0.00521984120480012,0.0195318824994364,0.0119922790073392,0.00946547884187088,-0.0052199370293311
"2007-08",-0.000146446900624105,-0.004,-0.00658664182036572,-0.0379008746355685,-0.00442983198957103,0.0188755075764143,0.0159501074538095,0.0237175951461666,-0.0126602193327472
"2007-09",-0.000722264980306399,-0.00600000000000001,-0.0102240942678115,-0.0212121212121212,0.0209631467695983,0.0184900965133245,-0.00629291683974564,0.0043103448275863,-0.0113790808627106
"2007-10",0.0001377121671466,0.00100000000000001,0.0151236728532693,0.0247678018575852,-0.0108838079957214,0.017989985381865,-0.00309193837834976,0.0134120171673819,-0.00238923705592897
"2007-11",-8.71465909854929e-05,0.000999999999999994,-0.00930828530135985,0.0151057401812689,0.0110396840852074,0.0172458061202339,0.00753232073079069,0.0269984118581259,-0.0138850609669172
"2007-12",-0.00125401417387191,-0.007,0.00918604890103858,0.0148809523809523,-0.00990618098710461,0.0167202244822138,0.0151198668776893,0.0309278350515463,-0.0260986892829607
"2008-01",-0.0013002859493443,0.003,-0.00785633897386673,-0.00293255131964809,0.0088385915925,0.0163589022809079,0.0296999517151253,0.0405,-0.0130032062700391
"2008-02",-0.00208262367620499,-0.002,0.00283293420706943,-0.0205882352941177,0.00715439525495531,0.0161819233685748,0.0183902016259374,0.0269101393560789,-0.0133249112675209
