"","EXP6021","XTEXVA01ILM667S","XTIMVA01ILM667S","XTEXVA01KRM657S","XTIMVA01KRM657S","KORXTIMVA01NCMLM","IMPKR"
"1995-01",-0.215080346106304,-0.0020010370266772,0.0883962443673108,-0.0297819792840923,-0.0293773530229547,979278844750.09,477.5
"1995-02",0.411811023622047,-0.0481810704276012,-0.00728864023768627,0.0430316778051709,0.10161223374041,2418256765803.35,207.1
"1995-03",0.206358059118795,0.0156473662870757,-0.0108154743676735,0.00665095096769947,0.0295643678048511,2369387102875.03,315.6
"1995-04",-0.604253351826167,0.155540489823932,0.0308050144853216,0.0658823530499682,0.0403887699736276,1987466703715.13,285.8
"1995-05",0.585280373831776,-0.0988964925030494,-0.0638558306981311,0.0083936239686987,0.00402660473047295,2175613942319.86,337
"1995-06",0.224760501105379,0.0490951156931463,0.0479182328750853,0.0137817532707071,0.013754930450462,2291155975291.18,369.3
"1995-07",-1.34717208182912,0.028408348484785,0.0866626776429473,0.0341330511816127,0.0025532070273604,1849327977060.39,336.3
"1995-08",2.07105719237435,-0.0728001299946992,-0.0453824365745791,0.0192557458671891,0.00113962615001251,1929605262500.75,483.5
"1995-09",-1.89277652370203,0.0747134624083643,-0.0321481971341155,-0.00476341957459262,0.0313621532798646,1926742529571.43,439.4
"1995-10",-0.381795195954488,-0.107448635797035,-0.0133143912704152,-0.005630936284637,-0.0315115132292536,1741174216552.43,638.9
"1995-11",-0.241308793456034,0.155255978039246,0.122542335742241,-0.00734319147379272,-0.00499131790342153,1519007435112.87,410.6
"1995-12",-0.95822102425876,0.0152923257147677,0.0236667287860146,-0.0268124829640255,0.00456939509371147,700755199807.25,253.7
"1996-01",58.1935483870963,-0.0461717040965538,-0.0127978863321975,0.092722950232023,0.0548668837378702,2387904321320.66,397.1
"1996-02",-0.350408719346049,-0.0147717283482043,0.0137833430384622,-0.0379862811509563,0.00268170446570403,1111211215188.96,497.3
"1996-03",-0.12751677852349,0.00728460207169279,-0.0450966641903844,0.0254941622633888,-0.0130966126062453,396307762693.588,120.9
"1996-04",0.155769230769231,-0.0302336380123913,-0.0740124065622911,-0.074145918577656,0.0175301581976751,1381392538190.81,172.3
"1996-05",0.526622296173043,-0.0177637278215205,0.0497125285825741,0.0339069431333511,-0.00937226237260774,904901065299.201,-45.5
"1996-06",-1.23651226158038,0.0938480466929923,0.0518373518134854,-0.0147933536911145,0.00321246079431613,349596327980.42,-342.8
"1996-07",-3.13824884792627,0.00478558113768379,-0.0342433434817567,-0.0605784593976155,0.0148915479602774,1780037034655.46,-315.3
"1996-08",1.25969827586207,-0.0746897988399949,0.0182529465119339,0.00993424012000008,0.0465257689380522,1737765342091.9,-540.3
"1996-09",-1.03195040534096,0.157762232749624,0.024928108536528,-0.0129096569593519,-0.0625050425045995,407528149316.578,-456
"1996-10",-11.1044776119402,0.0189198982575673,0.00999989204315055,0.109543181400253,0.0669067316853532,2208052205070.82,-483.6
"1996-11",1.21418020679469,-0.057172281776222,-0.0873952374008623,-0.0257186398518725,0.00271899076005792,1925082349678.57,-434.2
"1996-12",-0.740493662441628,-0.0219405486125349,0.0164946282992018,0.0104274747532267,-0.00137145376770297,2311107533122.48,-99
"1997-01",-4.60668380462725,0.0553422473951706,0.0298616140010473,-0.0479212117795411,-0.0156667111754105,1171613404828.75,-474.4
"1997-02",-0.403421240199572,-0.00968629731516701,-0.0291500526273053,0.00172144909596916,-0.0243492441581398,1004021567362.82,-489.6
"1997-03",-1.21266427718041,0.0384326335337173,0.0772237549173447,0.0506589355479168,0.0198921774095259,2013221001813.99,-139.2
"1997-04",-5.061797752809,-0.0376108067375883,-0.0919392928007281,0.0237813010280451,-0.0195658931145549,1549289565195.88,-3.60000000000014
"1997-05",0.254495159059472,-0.034650757334058,0.0264731878848445,0.0189783537962333,-0.0170982399256737,1046329400760.02,-29
"1997-06",-4.44432194046307,0.0501497490454632,-0.00210894783410509,0.0197606687108006,0.00533196573167155,1571627060430.47,324.9
"1997-07",-0.74775928297055,0.0586801690968297,-0.0244559244822894,0.0283695646220605,-0.0037736585618925,919471553365.9,399.3
"1997-08",-1.11548223350254,-0.0326642676522076,0.0124306057175396,-0.0276964547133208,-0.0192516483928201,-282361756160.299,172.7
"1997-09",-10.5494505494506,0.0684226435158724,0.0618008339182337,-0.0324181290130407,-0.0126388345513372,1129260814250.01,369.3
"1997-10",-1.18527042577675,-0.170256435075259,-0.124399849692425,0.039184939672431,0.0132394812400571,447576623980.398,201
"1997-11",2.37267080745344,0.128081539180451,0.0987518981577471,-0.0343285706932675,-0.0573277819832749,1039391518185.2,54.2
"1997-12",-1.4622467771639,-0.0543698416038584,0.012579370285468,-0.0173623753492475,-0.152496805277803,3672413633136,132.7
"1998-01",1.1792828685259,0.0710942652737716,-0.0710340389149234,-0.0666570826256005,-0.160138774330716,2082946401673.4,160.7
"1998-02",2.84826325411334,-0.0458037204249955,-0.0227877450747307,0.196463784181203,0.0290101331983675,2819514439617.5,219.9
"1998-03",-0.813301662707839,0.0294441692968697,0.0642616470752158,-0.0737403047958506,-0.0455159127775371,870235058703.9,148.8
"1998-04",1.11195928753181,0.124514056927325,-0.0273042987833996,0.0308969021961926,0.0147706706871084,-64243041228.5996,8.5
"1998-05",-1.39156626506024,-0.126257654645903,-0.0504640278968923,-0.0631655973887228,-0.0493674316413656,-354064942000,-13.0999999999999
"1998-06",8.83076923076923,0.00700064207878826,0.0559729020141644,-0.0290105770029664,-0.00972537239269751,-126770155642.398,116.4
"1998-07",-0.877308294209703,0.0214732595038003,0.0112228890887685,-0.0552845691850196,-0.068223136115965,-2088739334139.11,-192.7
"1998-08",-1.1734693877551,-0.0269823173087277,0.00598766621194424,0.005699926450793,0.0406811030310152,-986135633855.08,55
"1998-09",-22.1029411764707,-0.0285938230255213,-0.0973477627930865,0.0434982898287388,0.0011120824275447,-558455162889.799,-32.0999999999999
